name	x	y	z	size	chan_num	FS_label	FS_vol	FS_ind	WMvsGM	LvsR	sEEG_ECoG	Desikan_Killiany	DK_ind	DK_lobe	Destrieux	Destr_ind	Destr_long	Yeo7	Yeo7_ind	Yeo17	Yeo17_ind	PTD_ind	surr_GM_vox	surr_WM_vox	LEPTO_coord_1	LEPTO_coord_2	LEPTO_coord_3	MNI_coord_1	MNI_coord_2	MNI_coord_3	MGRID_coord_1	MGRID_coord_2	MGRID_coord_3	subINF_coord_1	subINF_coord_2	subINF_coord_3	fsaverageINF_coord_1	fsaverageINF_coord_2	fsaverageINF_coord_3	ScannerNativeRAS_coord_1	ScannerNativeRAS_coord_2	ScannerNativeRAS_coord_3	JP_label_original	JP_label_std	sub_name
LAIN11	-18.59003290467834	30.36052710321043	36.62062054887393	3.5 mm	11	LAIN11	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	superiorfrontal	29	Frontal	S_front_sup	55	Superior frontal sulcus	Default	8	17Networks_16	17	-0.3333333	9.0	18.0	-17.0	2.0	77.0	-18.59003290467834	30.36052710321043	36.62062054887393	146.0	52.0	127.0	12.995481491088867	45.77266311645508	70.6284408569336	8.971414566040039	75.72998809814453	33.469444274902344	-16.417739868164062	4.895416259765625	42.45564270019531	SFG	LFC	sub-09 LAIN11
LAIN12	-16.677927404678314	32.570939103210435	41.43774204887393	3.5 mm	12	LAIN12	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	superiorfrontal	29	Frontal	S_front_sup	55	Superior frontal sulcus	Default	8	17Networks_16	17	-0.4074074	8.0	19.0	-15.0	2.0	81.5	-16.677927404678314	32.570939103210435	41.43774204887393	144.0	47.5	127.0	16.888517379760742	44.712310791015625	72.29456329345703	13.056175231933594	75.1182861328125	36.74741744995117	-14.417739868164062	4.895416259765625	46.95564270019531	SFG	LFC	sub-09 LAIN12
LAIN13	-14.77451915467833	34.51604860321044	46.372617298873934	3.5 mm	13	LAIN13	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	superiorfrontal	29	Frontal	G_front_sup	16	Superior frontal gyrus (F1)	Default	8	17Networks_17	18	-0.5555556	6.0	21.0	-13.0	1.75	86.0	-14.77451915467833	34.51604860321044	46.372617298873934	142.0	43.0	127.25	24.026535034179688	42.96515655517578	73.04076385498047	20.839473724365234	70.92733001708984	43.2971076965332	-12.417739868164062	4.645416259765625	51.45564270019531	SFG	LFC	sub-09 LAIN13
LAIN14	-12.871110904678346	36.46115810321042	51.30749254887392	3.5 mm	14	LAIN14	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-11.0	1.5	90.5	-12.871110904678346	36.46115810321042	51.30749254887392	140.0	38.5	127.5	25.8753719329834	43.66780471801758	72.21029663085938	21.8046989440918	72.44657135009766	42.13517761230469	-10.417739868164062	4.395416259765625	55.95564270019531	SFG	LFC	sub-09 LAIN14
LAIN15	-11.344282389978332	38.307061675210434	56.69045600837393	3.5 mm	15	LAIN15	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-9.333	1.0	95.3333	-11.344282389978332	38.307061675210434	56.69045600837393	138.333	33.6667	128.0	28.13762283325196	40.2281494140625	72.06466674804688	23.017417907714844	73.24066162109375	41.29328536987305	-8.750739868164061	3.895416259765625	60.788942700195314	SFG	LFC	sub-09 LAIN15
LAIN16	-9.39184089317834	40.319177843410415	61.67337774677392	3.5 mm	16	LAIN16	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-7.2853	0.7857	99.8928	-9.39184089317834	40.319177843410415	61.67337774677392	136.2853	29.1072	128.21429999999998	28.73763084411621	40.14105224609375	71.67022705078125	23.901351928710938	74.542724609375	39.91178131103516	-6.703039868164069	3.681116259765645	65.3484427001953	Out of the Brain	EXCLUDE	sub-09 LAIN16
LANT1	-6.496114904678336	-6.062164896789568	9.064976548873943	3.5 mm	17	LANT1	Left-Thalamus-Proper	10.0	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-6.5	-16.0	42.0	-6.496114904678336	-6.062164896789568	9.064976548873943	135.5	87.0	145.0	44.70419692993164	13.935617446899414	-2.7425127029418945	40.74851608276367	17.816650390625	-12.533584594726562	-5.917739868164063	-13.104583740234377	7.455642700195312	Thalamus Anterior	THALAMUS ANT	sub-09 LANT1
LANT2	-11.74522390467834	-6.530844896789574	7.74403154887392	3.5 mm	18	LANT2	Left-Thalamus-Proper	10.0	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-11.5	-16.0	41.0	-11.74522390467834	-6.530844896789574	7.74403154887392	140.5	88.0	145.0	44.4715461730957	14.05993366241455	-4.120615482330322	40.40999603271485	17.49127197265625	-14.650396347045898	-10.917739868164062	-13.104583740234377	6.4556427001953125	Thalamus Anterior	THALAMUS ANT	sub-09 LANT2
LANT3	-16.994332904678345	-6.999524896789566	6.4230865488739255	3.5 mm	19	LANT3	Left-Thalamus-Proper	10.0	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-16.5	-16.0	40.0	-16.994332904678345	-6.999524896789566	6.4230865488739255	145.5	89.0	145.0	44.20223617553711	14.598102569580078	-5.445619583129883	39.996395111083984	17.144561767578125	-16.74605369567871	-15.917739868164062	-13.104583740234377	5.4556427001953125	White Matter	EXCLUDE	sub-09 LANT3
LANT4	-22.24344190467832	-7.468204896789572	5.102141548873931	3.5 mm	20	LANT4	Left-Pallidum	13.0	WM	L	sEEG	Left-Pallidum	Left-Pallidum	Left-Pallidum	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-21.5	-16.0	39.0	-22.24344190467832	-7.468204896789572	5.102141548873931	150.5	90.0	145.0	-21.74798583984375	15.355840682983398	-6.546969413757324	9.988536834716797	23.89260673522949	-53.0693359375	-20.917739868164062	-13.104583740234377	4.4556427001953125	White Matter	EXCLUDE	sub-09 LANT4
LANT5	-26.96306590467833	-7.939356896789576	3.808687548873934	3.5 mm	21	LANT5	Left-Putamen	12.0	WM	L	sEEG	Left-Putamen	Left-Putamen	Left-Putamen	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-26.0	-16.0	38.0	-26.96306590467833	-7.939356896789576	3.808687548873934	155.0	91.0	145.0	-21.74798583984375	15.355840682983398	-6.546969413757324	-15.005440711975098	25.324499130249023	-21.72321510314941	-25.417739868164062	-13.104583740234377	3.4556427001953125	Basal Ganglia	BG	sub-09 LANT5
LANT6	-32.189304404678325	-8.654736896789572	1.9647250488739303	3.5 mm	22	LANT6	Left-Putamen	12.0	WM	L	sEEG	Left-Putamen	Left-Putamen	Left-Putamen	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-31.0	-16.0	36.5	-32.189304404678325	-8.654736896789572	1.9647250488739303	160.0	92.5	145.0	-21.74798583984375	15.355840682983398	-6.546969413757324	-15.184325218200684	25.599315643310547	-23.075233459472656	-30.417739868164062	-13.104583740234377	1.9556427001953125	Basal Ganglia	BG	sub-09 LANT6
LANT7	-37.46128390467834	-8.87671689678956	1.1667975488739444	3.5 mm	23	LANT7	ctx-lh-insula	1035.0	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	27.0	0.0	-36.0	-16.0	36.0	-37.46128390467834	-8.87671689678956	1.1667975488739444	165.0	93.0	145.0	-20.764545440673828	16.1219482421875	-12.626127243041992	-15.406805038452148	25.18390846252441	-23.514204025268555	-35.41773986816406	-13.104583740234377	1.4556427001953125	Insula	INSULA	sub-09 LANT7
LANT8	-42.71039290467832	-9.345396896789566	-0.1541474511260787	3.5 mm	24	LANT8	ctx-lh-insula	1035.0	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	10.0	0.0	-41.0	-16.0	35.0	-42.71039290467832	-9.345396896789566	-0.1541474511260787	170.0	94.0	145.0	-20.559993743896484	16.411060333251953	-9.918217658996582	-15.389884948730469	25.912153244018555	-24.496845245361328	-40.41773986816406	-13.104583740234377	0.4556427001953125	Insula	INSULA	sub-09 LANT8
LANT9	-47.95950190467832	-9.814076896789572	-1.4750924511260737	3.5 mm	25	LANT9	ctx-lh-superiortemporal	1030.0	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-G_T_transv	33	Anterior transverse temporal gyrus (of Heschl)	Somatomotor	3	17Networks_4	5	1.0	21.0	0.0	-46.0	-16.0	34.0	-47.95950190467832	-9.814076896789572	-1.4750924511260737	175.0	95.0	145.0	-29.94024658203125	0.6448001861572266	-19.29176139831543	-28.06291580200196	11.844999313354492	-31.372220993041992	-45.41773986816406	-13.104583740234377	-0.5443572998046875	STG	STG	sub-09 LANT9
LANT10	-53.20861090467835	-10.28275689678958	-2.796037451126068	3.5 mm	26	LANT10	ctx-lh-superiortemporal	1030.0	GM	L	sEEG	superiortemporal	31	Temporal	G_temp_sup-Lateral	34	Lateral aspect of the superior temporal gyrus	Somatomotor	3	17Networks_4	5	0.7777778	24.0	3.0	-51.0	-16.0	33.0	-53.20861090467835	-10.28275689678958	-2.796037451126068	180.0	96.0	145.0	-32.315528869628906	-2.9291725158691406	-20.81351661682129	-27.372989654541016	13.150508880615234	-32.100311279296875	-50.41773986816406	-13.104583740234377	-1.5443572998046875	STG	STG	sub-09 LANT10
LANT11	-57.43353890467833	-11.817590896789568	-3.5909854511260733	3.5 mm	27	LANT11	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-55.0	-17.0	32.0	-57.43353890467833	-11.817590896789568	-3.5909854511260733	184.0	97.0	146.0	-32.918853759765625	-4.533237457275391	-20.959373474121094	-37.62654876708984	4.648852825164795	-35.68009567260742	-54.41773986816406	-14.104583740234377	-2.5443572998046875	STG	STG	sub-09 LANT11
LANT12	-62.68264790467831	-12.286270896789574	-4.911930451126068	3.5 mm	28	LANT12	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-60.0	-17.0	31.0	-62.68264790467831	-12.286270896789574	-4.911930451126068	189.0	98.0	146.0	-33.12670135498047	-5.80972146987915	-20.83338928222656	-37.61503982543945	1.2515813112258911	-31.75415229797364	-59.41773986816406	-14.104583740234377	-3.5443572998046875	STS	MTG	sub-09 LANT12
LANT13	-67.93175690467831	-12.754950896789566	-6.232875451126063	3.5 mm	29	LANT13	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-65.0	-17.0	30.0	-67.93175690467831	-12.754950896789566	-6.232875451126063	194.0	99.0	146.0	-43.89055633544922	5.297938823699951	-42.27706909179688	-37.83000183105469	0.759064793586731	-31.66012954711914	-64.41773986816406	-14.104583740234377	-4.544357299804688	STS	MTG	sub-09 LANT13
LANT14	-73.05139257837834	-13.312647689789586	-7.507712151626066	3.5 mm	30	LANT14	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-69.875	-17.0833	29.0	-73.05139257837834	-13.312647689789586	-7.507712151626066	198.875	100.0	146.0833	-43.89055633544922	5.297938823699951	-42.27706909179688	-38.038204193115234	0.2639302909374237	-31.566650390625	-69.29273986816406	-14.187883740234383	-5.544357299804688	Out of the Brain	EXCLUDE	sub-09 LANT14
LHOF1	-22.261076904678305	44.27321390321043	-19.72391785112609	3.5 mm	31	LHOF1	ctx-lh-lateralorbitofrontal	1012.0	GM	L	sEEG	lateralorbitofrontal	13	Frontal	S_orbital-H_Shaped	65	Orbital sulci (H-shaped sulci)	Limbic	6	17Networks_10	11	0.75	21.0	3.0	-23.2	33.4	37.6	-22.261076904678305	44.27321390321043	-19.72391785112609	152.2	91.4	95.6	9.72366428375244	94.55989837646484	-7.803627490997314	9.892255783081056	88.72549438476562	-45.483394622802734	-22.61773986816405	36.29541625976563	3.055642700195307	OFC	OFC	sub-09 LHOF1
LHOF2	-26.97039290467833	43.604286603210426	-16.934190451126085	3.5 mm	32	LHOF2	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-27.5	31.75	39.75	-26.97039290467833	43.604286603210426	-16.934190451126085	156.5	89.25	97.25	7.035287857055664	93.51205444335938	-7.920456886291504	1.900556564331055	90.04560089111328	-41.68489456176758	-26.917739868164062	34.645416259765625	5.2056427001953125	OFC	OFC	sub-09 LHOF2
LHOF3	-31.216416740978303	42.168760748210445	-13.65305575662606	3.5 mm	33	LHOF3	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	lateralorbitofrontal	13	Frontal	S_orbital-H_Shaped	65	Orbital sulci (H-shaped sulci)	Frontoparietal	7	17Networks_8	9	0.1851852	16.0	11.0	-31.333	29.3333	42.0	-31.216416740978303	42.168760748210445	-13.65305575662606	160.333	87.0	99.6667	-6.044811248779297	94.615966796875	0.6847561001777649	-0.9148687720298768	87.18590545654297	-41.47675323486328	-30.75073986816406	32.22871625976563	7.455642700195312	OFC	OFC	sub-09 LHOF3
LHOF4	-35.03914015467831	40.67773060321044	-10.009068701126068	3.5 mm	34	LHOF4	ctx-lh-parsorbitalis	1019.0	GM	L	sEEG	parsorbitalis	20	Frontal	S_orbital-H_Shaped	65	Orbital sulci (H-shaped sulci)	Default	8	17Networks_13	14	0.4615385	19.0	7.0	-34.75	26.75	44.5	-35.03914015467831	40.67773060321044	-10.009068701126068	163.75	84.5	102.25	-12.78646755218506	89.0910415649414	0.2185051143169403	-4.725424289703369	85.70308685302734	-39.34503173828125	-34.16773986816406	29.645416259765625	9.955642700195312	OFC	OFC	sub-09 LHOF4
LHOF5	-38.161329904678354	39.00649910321043	-6.2498904511260776	3.5 mm	35	LHOF5	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	parsorbitalis	20	Frontal	S_orbital_lateral	63	Lateral orbital sulcus	Frontoparietal	7	17Networks_13	14	-0.9259259	1.0	26.0	-37.5	24.0	47.0	-38.161329904678354	39.00649910321043	-6.2498904511260776	166.5	82.0	105.0	-24.750837326049805	84.59934997558594	14.624335289001465	-14.075777053833008	85.09551239013672	-27.21024703979492	-36.91773986816406	26.895416259765625	12.455642700195312	IFG	LFC	sub-09 LHOF5
LHOF6	-41.38773643937833	37.15262523521042	-2.2031479226261013	3.5 mm	36	LHOF6	Left-Cerebral-White-Matter	2.0	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-40.333	21.0	49.6667	-41.38773643937833	37.15262523521042	-2.2031479226261013	169.333	79.3333	108.0	-25.46460723876953	83.51966094970703	16.42093276977539	-15.487688064575195	85.2091064453125	-22.97967529296875	-39.75073986816406	23.895416259765625	15.122342700195318	IFG	LFC	sub-09 LHOF6
LHOF7	-44.70201965467834	35.64666960321043	1.895491798873934	3.5 mm	37	LHOF7	ctx-lh-rostralmiddlefrontal	1027.0	GM	L	sEEG	rostralmiddlefrontal	28	Frontal	S_front_inf	53	Inferior frontal sulcus	Frontoparietal	7	17Networks_12	13	0.1666667	14.0	10.0	-43.25	18.25	52.5	-44.70201965467834	35.64666960321043	1.895491798873934	172.25	76.5	110.75	-28.66988182067871	69.2031478881836	25.84752082824707	-19.52471160888672	77.71656036376953	-16.85334014892578	-42.66773986816406	21.145416259765625	17.955642700195312	IFG	LFC	sub-09 LHOF7
LHOF8	-48.123257654678326	34.346724103210434	6.425450798873925	3.5 mm	38	LHOF8	ctx-lh-parstriangularis	1020.0	WM	L	sEEG	ctx-lh-parstriangularis	ctx-lh-parstriangularis	ctx-lh-parstriangularis	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-46.25	15.5	55.75	-48.123257654678326	34.346724103210434	6.425450798873925	175.25	73.25	113.5	-27.29443359375	72.60790252685547	26.51541519165039	-20.288803100585938	76.04007720947266	-14.560016632080078	-45.66773986816406	18.395416259765625	21.205642700195312	IFG	LFC	sub-09 LHOF8
LHOF9	-51.50423065467831	33.33068360321043	10.196884798873924	3.5 mm	39	LHOF9	Left-Cerebral-White-Matter	2.0	GM	L	sEEG	parstriangularis	21	Frontal	G_front_inf-Triangul	14	Triangular part of the inferior frontal gyrus	Frontoparietal	7	17Networks_17	18	-0.1111111	12.0	15.0	-49.25	13.25	58.5	-51.50423065467831	33.33068360321043	10.196884798873924	178.25	70.5	115.75	-31.13762283325196	56.34872817993164	23.824995040893555	-21.640888214111328	71.29617309570312	-11.92301082611084	-48.66773986816406	16.145416259765625	23.955642700195312	IFG	LFC	sub-09 LHOF9
LHOF10	-54.65110616637833	32.16562395321043	14.57479507837391	3.5 mm	40	LHOF10	ctx-lh-parstriangularis	1020.0	GM	L	sEEG	parstriangularis	21	Frontal	G_front_inf-Triangul	14	Triangular part of the inferior frontal gyrus	Frontoparietal	7	17Networks_17	18	0.7037037	23.0	4.0	-52.0	10.667	61.6667	-54.65110616637833	32.16562395321043	14.57479507837391	181.0	67.3333	118.333	-31.312366485595703	54.07610702514648	23.608097076416016	-23.588695526123047	62.53449630737305	-6.965175628662109	-51.41773986816406	13.562416259765628	27.12234270019532	IFG	LFC	sub-09 LHOF10
LHOF11	-58.249999709578304	30.820335354210428	18.38579166037394	3.5 mm	41	LHOF11	ctx-lh-parsopercularis	1018.0	GM	L	sEEG	parsopercularis	19	Frontal	G_front_inf-Triangul	14	Triangular part of the inferior frontal gyrus	Default	8	17Networks_17	18	1.0	16.0	0.0	-55.2	8.1411	64.3408	-58.249999709578304	30.820335354210428	18.38579166037394	184.2	64.6592	120.8589	-31.616533279418945	51.10433578491211	22.69326972961425	-24.056411743164062	60.21076583862305	-5.7685394287109375	-54.61773986816405	11.03651625976562	29.79644270019532	IFG	LFC	sub-09 LHOF11
LHOF12	-61.84889325277834	29.47504675521041	22.19678824237394	3.5 mm	42	LHOF12	Unknown	0.0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-58.4	5.6152	67.0149	-61.84889325277834	29.47504675521041	22.19678824237394	187.4	61.9851	123.3848	-31.656179428100582	49.51140594482422	23.07060432434082	-24.170509338378903	59.67566680908203	-5.371518135070801	-57.81773986816407	8.51061625976564	32.47054270019531	Out of the Brain	EXCLUDE	sub-09 LHOF12
LAMY1	-16.532582177678307	-3.775503614789571	-20.352441452126072	3.5 mm	43	LAMY1	Left-Amygdala	18.0	WM	L	sEEG	Left-Amygdala	Left-Amygdala	Left-Amygdala	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-17.333	-3.667	20.0	-16.532582177678307	-3.775503614789571	-20.352441452126072	146.333	109.0	132.667	15.434731483459473	36.30554962158203	-29.38495635986328	4.715928554534912	30.83479690551757	-56.31201934814453	-16.75073986816406	-0.7715837402343766	-14.544357299804688	Amygdala	AMY	sub-09 LAMY1
LAMY2	-21.54798539467833	-5.356103626789562	-19.47600180112608	3.5 mm	44	LAMY2	Left-Amygdala	18.0	WM	L	sEEG	Left-Amygdala	Left-Amygdala	Left-Amygdala	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-22.0	-5.333	20.333	-21.54798539467833	-5.356103626789562	-19.47600180112608	151.0	108.667	134.333	9.004435539245605	32.85127639770508	-31.314151763916016	5.608535289764404	29.684946060180664	-55.902809143066406	-21.417739868164062	-2.4375837402343734	-14.211357299804687	Amygdala	AMY	sub-09 LAMY2
LAMY3	-26.59028563167834	-7.12635217878956	-18.09286745012608	3.5 mm	45	LAMY3	Left-Amygdala	18.0	WM	L	sEEG	Left-Amygdala	Left-Amygdala	Left-Amygdala	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-26.667	-7.333	21.0	-26.59028563167834	-7.12635217878956	-18.09286745012608	155.667	108.0	136.333	1.605722427368164	28.74124336242676	-33.45037078857422	5.859663009643555	25.665668487548828	-56.07638549804688	-26.084739868164064	-4.437583740234373	-13.544357299804688	Amygdala	AMY	sub-09 LAMY3
LAMY4	-31.577848177678334	-8.518937614789579	-17.721079452126077	3.5 mm	46	LAMY4	Left-Amygdala	18.0	WM	L	sEEG	Left-Amygdala	Left-Amygdala	Left-Amygdala	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-31.333	-8.667	21.0	-31.577848177678334	-8.518937614789579	-17.721079452126077	160.333	108.0	137.667	-2.402318954467773	25.407276153564453	-37.28680419921875	4.767546653747559	23.930784225463867	-57.17195892333984	-30.75073986816406	-5.771583740234377	-13.544357299804688	Hippocampus	HPC	sub-09 LAMY4
