name	x	y	z	size	chan_num	FS_label	FS_vol	FS_ind	WMvsGM	LvsR	sEEG_ECoG	Desikan_Killiany	DK_ind	DK_lobe	Destrieux	Destr_ind	Destr_long	Yeo7	Yeo7_ind	Yeo17	Yeo17_ind	PTD_ind	surr_GM_vox	surr_WM_vox	LEPTO_coord_1	LEPTO_coord_2	LEPTO_coord_3	MNI_coord_1	MNI_coord_2	MNI_coord_3	MGRID_coord_1	MGRID_coord_2	MGRID_coord_3	subINF_coord_1	subINF_coord_2	subINF_coord_3	fsaverageINF_coord_1	fsaverageINF_coord_2	fsaverageINF_coord_3	ScannerNativeRAS_coord_1	ScannerNativeRAS_coord_2	ScannerNativeRAS_coord_3	sub_name
LpCN12	-6.550515997770702	-60.93470730982479	48.07550859693831	3.5 mm	12	LpCN12	Left-Cerebral-White-Matter	2	GM	L	sEEG	precuneus	26	Parietal	S_subparietal	72	Subparietal sulcus	Default	8	17Networks_16	17	0.2592593	17.0	10.0	-6.5	-60.5	24.0	-6.550515997770702	-60.93470730982479	48.07550859693831	135.5	105.0	189.5	36.8394660949707	-75.10269165039062	14.105192184448242	27.72218513488769	-63.71015930175781	41.981746673583984	-7.203238993883133	-51.84725370910019	2.10027939081192	sub-05 LpCN12
LpCN13	-6.2837819972726265	-66.9196253260837	49.44314660448529	3.5 mm	13	LpCN13	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-6.5	-65.5	23.0	-6.2837819972726265	-66.9196253260837	49.44314660448529	135.5	106.0	194.5	35.712867736816406	-82.14032745361328	12.654067993164062	27.11050033569336	-65.85773468017578	42.27791213989258	-7.203238993883133	-56.84725372400135	1.100279450416565	sub-05 LpCN13
LpCN14	-6.055798270940386	-72.5460604069284	51.11405471351915	3.5 mm	14	LpCN14	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-6.5	-70.333	22.333	-6.055798270940386	-72.5460604069284	51.11405471351915	135.5	106.667	199.333	32.3118896484375	-89.26000213623047	17.187414169311523	24.619848251342773	-69.47268676757812	44.39430236816406	-7.203238993883133	-61.68025373394042	0.4332794901728647	sub-05 LpCN14
LpCN15	-5.980467620431909	-78.16976053652675	52.296871777223686	3.5 mm	15	LpCN15	Left-Cerebral-White-Matter	2	GM	L	sEEG	superiorparietal	30	Parietal	G_parietal_sup	27	Superior parietal lobule (lateral part of P1)	Dorsal Attention	4	17Networks_5	6	-0.9259259	1.0	26.0	-6.667	-75.0	21.333	-5.980467620431909	-78.16976053652675	52.296871777223686	135.667	107.667	204.0	28.550033569335938	-94.54224395751952	9.417854309082031	22.479637145996094	-70.25695037841797	46.03274154663086	-7.37023898392917	-66.34725374915264	-0.5667204502224905	sub-05 LpCN15
LpCN16	-5.985206728238353	-83.91466430497414	53.86568901818717	3.5 mm	16	LpCN16	ctx-lh-superiorparietal	1029	GM	L	sEEG	superiorparietal	30	Parietal	G_parietal_sup	27	Superior parietal lobule (lateral part of P1)	Dorsal Attention	4	17Networks_5	6	1.0	14.0	0.0	-6.8932	-79.8929	20.5711	-5.985206728238353	-83.91466430497414	53.86568901818717	135.8932	108.4289	208.8929	31.80389976501465	-92.33788299560548	5.766226291656494	22.479637145996094	-70.25695037841797	46.03274154663086	-7.596438970446599	-71.24015376092717	-1.328620404809712	sub-05 LpCN16
LpIN1	-43.75712698466481	-2.641687237637768	-13.555348204481106	3.5 mm	17	LpIN1	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	18.0	0.0	-41.0	4.0	2.0	-43.75712698466481	-2.641687237637768	-13.555348204481106	170.0	127.0	125.0	-14.90007495880127	33.95931625366211	-16.664722442626953	-22.33106231689453	24.57124137878418	-41.10684585571289	-41.70323693752289	12.65274589881301	-19.89971929788589	sub-05 LpIN1
LpIN2	-42.671540490142206	-5.097237481053597	-11.13724867071491	3.5 mm	18	LpIN2	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	27.0	0.0	-40.0	1.3335	2.8335	-42.671540490142206	-5.097237481053597	-11.13724867071491	169.0	126.1665	127.6665	-15.88884162902832	31.02073097229004	-14.742486953735352	-13.557428359985352	36.20560073852539	-39.87881851196289	-40.70323699712753	9.986245913095772	-19.06621934756636	sub-05 LpIN2
LpIN3	-41.58595399561966	-7.552787724469411	-8.719149136948715	3.5 mm	19	LpIN3	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	27.0	0.0	-39.0	-1.333	3.667	-41.58595399561966	-7.552787724469411	-8.719149136948715	168.0	125.333	130.333	-16.764829635620117	27.64682388305664	-13.081690788269045	-15.575724601745604	31.472278594970703	-35.68791580200195	-39.70323705673218	7.319745927378534	-18.23271939724684	sub-05 LpIN3
LpIN4	-40.35239287627755	-9.98795134602156	-6.375522989787186	3.5 mm	20	LpIN4	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	27.0	0.0	-37.8667	-3.9553	4.4447	-40.35239287627755	-9.98795134602156	-6.375522989787186	166.8667	124.5553	132.9553	-16.143783569335938	24.826736450195312	-10.734413146972656	-16.009592056274414	28.638961791992188	-31.39213752746582	-38.56993712428212	4.697445941078115	-17.455019443601373	sub-05 LpIN4
LpIN5	-39.11871050633545	-12.42327574007514	-4.031952986924921	3.5 mm	21	LpIN5	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_7	8	1.0	27.0	0.0	-36.7333	-6.5777	5.2223	-39.11871050633545	-12.42327574007514	-4.031952986924921	165.7333	123.7777	135.5777	-18.13851928710937	16.44843864440918	-9.20618724822998	-16.18094253540039	25.545991897583008	-27.059589385986328	-37.43653719183803	2.075045954776371	-16.67741948994994	sub-05 LpIN5
LpIN6	-37.88514938699339	-14.85843936162729	-1.6883268397633913	3.5 mm	22	LpIN6	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_7	8	0.7777778	24.0	3.0	-35.6	-9.2	6.0	-37.88514938699339	-14.85843936162729	-1.6883268397633913	164.6	123.0	138.2	-18.13851928710937	16.44843864440918	-9.20618724822998	-17.226449966430664	19.57330703735352	-22.79068183898925	-36.30323725938797	-0.547254031524048	-15.899719536304474	sub-05 LpIN6
LpIN7	-36.70373698755995	-17.37024864313277	1.0009922516519223	3.5 mm	23	LpIN7	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	G_Ins_lg_and_S_cent_ins	17	Long insular gyrus and central sulcus of the insula	Ventral Attention	5	17Networks_7	8	0.1851852	16.0	11.0	-34.5	-12.0	7.0	-36.70373698755995	-17.37024864313277	1.0009922516519223	163.5	122.0	141.0	-17.468503952026367	9.824103355407717	-6.854694366455078	-17.180286407470703	17.9078426361084	-20.85271644592285	-35.20323732495308	-3.347254014573992	-14.89971959590912	sub-05 LpIN7
LpIN8	-35.52232458812651	-19.882057924638232	3.690311343067208	3.5 mm	24	LpIN8	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Somatomotor	3	17Networks_4	5	0.1851852	16.0	11.0	-33.4	-14.8	8.0	-35.52232458812651	-19.882057924638232	3.690311343067208	162.4	121.0	143.8	-18.89425277709961	-0.9873717427253724	-6.154103755950928	-18.02155876159668	12.057031631469728	-17.19122314453125	-34.10323739051819	-6.147253997623935	-13.899719655513763	sub-05 LpIN8
LpIN9	-34.28192448869618	-22.556898856042096	6.460441234435308	3.5 mm	25	LpIN9	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Somatomotor	3	17Networks_4	5	0.4074074	19.0	8.0	-32.25	-17.75	9.0	-34.28192448869618	-22.556898856042096	6.460441234435308	161.25	120.0	146.75	-18.807315826416016	-1.5679696798324585	-5.925764083862305	-18.78125190734864	6.472972393035889	-13.627368927001951	-32.95323745906353	-9.097253980580716	-12.899719715118408	sub-05 LpIN9
LpIN10	-33.30701397585139	-24.78920411782009	9.00119487682349	3.5 mm	26	LpIN10	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Somatomotor	3	17Networks_4	5	0.2592593	17.0	10.0	-31.3333	-20.2917	10.0	-33.30701397585139	-24.78920411782009	9.00119487682349	160.3333	119.0	149.2917	-18.778026580810547	-2.916249990463257	-5.480820178985596	-18.899349212646484	4.935702323913574	-12.301739692687988	-32.03653751370311	-11.638953963972057	-11.899719774723051	sub-05 LpIN10
LpIN11	-32.33221475320653	-27.021401539898307	11.541888191811836	3.5 mm	27	LpIN11	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Somatomotor	3	17Networks_4	5	0.2592593	17.0	10.0	-30.4167	-22.8333	11.0	-32.33221475320653	-27.021401539898307	11.541888191811836	159.4167	118.0	151.8333	-19.1029052734375	-4.959163188934326	-5.174513339996338	-20.87730407714844	-1.294034123420715	-10.244429588317873	-31.119937568336724	-14.18055394736362	-10.899719834327698	sub-05 LpIN11
LpIN12	-31.357304240361685	-29.2537068016763	14.082641834200018	3.5 mm	28	LpIN12	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	S_circular_insula_inf	49	Inferior segment of the circular sulcus of the insula	Somatomotor	3	17Networks_4	5	0.7037037	23.0	4.0	-29.5	-25.375	12.0	-31.357304240361685	-29.2537068016763	14.082641834200018	158.5	117.0	154.375	-19.492088317871094	-7.103979110717773	-4.825154781341553	-21.07890510559082	-2.605996370315552	-8.926778793334961	-30.203237622976303	-16.72225393075496	-9.899719893932344	sub-05 LpIN12
LpIN13	-30.38239372751684	-31.486012063454304	16.6233954765882	3.5 mm	29	LpIN13	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	Lat_Fis-post	41	Posterior ramus (or segment) of the lateral sulcus (or fissure)	Somatomotor	3	17Networks_4	5	1.0	27.0	0.0	-28.5833	-27.9167	13.0	-30.38239372751684	-31.486012063454304	16.6233954765882	157.5833	116.0	156.9167	-20.129901885986328	-10.04389762878418	-4.000673294067383	-22.949369430541992	-7.0767669677734375	-6.347280979156494	-29.286537677615883	-19.2639539141463	-8.899719953536987	sub-05 LpIN13
LpIN14	-29.40759450487201	-33.718209485532526	19.16408879157649	3.5 mm	30	LpIN14	ctx-lh-insula	1035	GM	L	sEEG	insula	36	Insula	Lat_Fis-post	41	Posterior ramus (or segment) of the lateral sulcus (or fissure)	Somatomotor	3	17Networks_4	5	0.7777778	24.0	3.0	-27.6667	-30.4583	14.0	-29.40759450487201	-33.718209485532526	19.16408879157649	156.6667	115.0	159.4583	-21.773237228393555	-14.335761070251465	-2.7604925632476807	-23.564172744750977	-8.00390338897705	-5.246373653411865	-28.369937732249497	-21.805553897537862	-7.899720013141632	sub-05 LpIN14
LpIN15	-28.432683992027137	-35.95051474731052	21.70484243396473	3.5 mm	31	LpIN15	Left-Cerebral-White-Matter	2	GM	L	sEEG	insula	36	Insula	Lat_Fis-post	41	Posterior ramus (or segment) of the lateral sulcus (or fissure)	Somatomotor	3	17Networks_4	5	-0.9259259	1.0	26.0	-26.75	-33.0	15.0	-28.432683992027137	-35.95051474731052	21.70484243396473	155.75	114.0	162.0	-21.92214012145996	-14.800396919250488	-2.8961005210876465	-23.564172744750977	-8.00390338897705	-5.246373653411865	-27.45323778688908	-24.3472538809292	-6.899720072746277	sub-05 LpIN15
LpIN16	-27.9338859926809	-38.01028922597069	24.47531767405925	3.5 mm	32	LpIN16	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-26.25	-35.5	16.25	-27.9338859926809	-38.01028922597069	24.47531767405925	155.25	112.75	164.5	-24.412273406982425	-20.00245857238769	-2.62457275390625	-23.564172744750977	-8.00390338897705	-5.246373653411865	-26.9532378166914	-26.847253861371428	-5.649720147252083	sub-05 LpIN16
LaTh1	-4.981247358924776	-8.553383767009919	9.879728428364077	3.5 mm	33	LaTh1	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-4.333	-7.667	14.0	-4.981247358924776	-8.553383767009919	9.879728428364077	133.333	115.0	136.667	46.84283447265625	16.431379318237305	-1.7906659841537476	40.07974243164063	13.23142433166504	-13.404862403869627	-5.036239123046386	0.9857461459245512	-7.899720013141632	sub-05 LaTh1
LaTh2	-9.206003719526764	-4.444287878358949	9.946922057242574	3.5 mm	34	LaTh2	Left-Thalamus-Proper	10	WM	L	sEEG	Left-Thalamus-Proper	Left-Thalamus-Proper	Left-Thalamus-Proper	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-8.0	-4.667	15.667	-9.206003719526764	-4.444287878358949	9.946922057242574	137.0	113.333	133.667	47.02667617797852	20.26054573059082	-1.749885082244873	40.83628082275391	17.80859375	-11.7066650390625	-8.703238904476166	3.985746163934465	-6.232720112502577	sub-05 LaTh2
LaTh3	-13.430170540128527	-0.335450293215132	10.013581729124382	3.5 mm	35	LaTh3	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-11.6665	-1.667	17.3335	-13.430170540128527	-0.335450293215132	10.013581729124382	140.6665	111.6665	130.667	47.36298370361328	25.71650505065918	4.87644624710083	41.32792282104492	26.291643142700195	-11.677120208740234	-12.369738685935744	6.98574618193787	-4.566220211833709	sub-05 LaTh3
LaTh4	-17.654337360730324	3.7733872919287137	10.080241401006164	3.5 mm	36	LaTh4	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-15.333	1.333	19.0	-17.654337360730324	3.7733872919287137	10.080241401006164	144.333	110.0	127.667	47.40998840332031	31.21738815307617	7.50147819519043	41.40521240234375	30.78414535522461	-10.238259315490724	-16.036238467395293	9.98574619994126	-2.899720311164856	sub-05 LaTh4
LaTh5	-21.19225136153972	8.067234318349477	10.599853388742275	3.5 mm	37	LaTh5	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	24.0	-18.333	4.333	21.0	-21.19225136153972	8.067234318349477	10.599853388742275	147.333	108.0	124.667	-12.39064598083496	39.66829299926758	0.8285735249519348	-14.46501636505127	35.45890426635742	-15.8651123046875	-19.03623828858136	12.985746224155662	-0.8997204303741455	sub-05 LaTh5
LaTh6	-25.80964136228684	12.348360342737848	11.022662377421767	3.5 mm	38	LaTh6	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	22.0	-22.333	7.333	23.0	-25.80964136228684	12.348360342737848	11.022662377421767	151.333	106.0	121.667	-12.89434814453125	44.46274566650391	4.11320686340332	-13.925947189331056	40.59463882446289	-17.715030670166016	-23.03623805016278	15.985746246507404	1.100279450416565	sub-05 LaTh6
LaTh7	-29.34755536309624	16.642207369158612	11.542274365157908	3.5 mm	39	LaTh7	Left-Cerebral-White-Matter	2	GM	L	sEEG	parstriangularis	21	Frontal	S_circular_insula_sup	50	Superior segment of the circular sulcus of the insula	Ventral Attention	5	17Networks_7	8	-0.8518519	2.0	25.0	-25.333	10.333	25.0	-29.34755536309624	16.642207369158612	11.542274365157908	154.333	104.0	118.667	-12.225890159606934	49.16949844360352	5.286612987518311	-13.94795036315918	44.398040771484375	-18.466821670532227	-26.036237871348845	18.98574627072179	3.1002793312072754	sub-05 LaTh7
LaTh8	-33.865341363345266	20.394005377288053	10.800366361384365	3.5 mm	40	LaTh8	Unknown	0	WM	L	sEEG	Unknown	1	Unknown	Depth	Depth	Depth	Depth	Depth	Depth	Depth				-29.333	13.333	26.0	-33.865341363345266	20.394005377288053	10.800366361384365	158.333	103.0	115.667	-12.82646942138672	54.57023239135742	9.487967491149902	-15.591694831848145	49.42903518676758	-17.373458862304688	-30.036237632930263	21.98574627817237	4.100279271602631	sub-05 LaTh8
LaTh9	-37.763800348133856	24.68360358903001	11.287646147435597	3.5 mm	41	LaTh9	ctx-lh-parstriangularis	1020	GM	L	sEEG	parstriangularis	21	Frontal	Lat_Fis-ant-Vertical	40	Vertical ramus of the anterior segment of the lateral sulcus (or fissure)	Ventral Attention	5	17Networks_8	9	0.03703704	14.0	13.0	-32.667	16.333	28.0	-37.763800348133856	24.68360358903001	11.287646147435597	161.667	101.0	112.667	-13.941884994506836	53.46547317504883	11.139927864074709	-17.2324275970459	59.00418472290039	-18.71088409423828	-33.370237434208406	24.985746301764607	6.100279152393341	sub-05 LaTh9
LaTh10	-42.32025749063197	28.33672331128895	11.296751482888595	3.5 mm	42	LaTh10	Left-Cerebral-White-Matter	2	GM	L	sEEG	parstriangularis	21	Frontal	Lat_Fis-ant-Vertical	40	Vertical ramus of the anterior segment of the lateral sulcus (or fissure)	Default	8	17Networks_17	18	-0.6296296	5.0	22.0	-36.667	19.0	29.5	-42.32025749063197	28.33672331128895	11.296751482888595	165.667	99.5	110.0	-14.145676612854004	58.81119155883789	16.97828483581543	-21.894920349121094	69.59561157226562	-5.315942764282227	-37.37023719578983	27.65274631666577	7.600279062986374	sub-05 LaTh10
LaTh11	-46.876714633130064	31.989843033547885	11.305856818341596	3.5 mm	43	LaTh11	Left-Cerebral-White-Matter	2	WM	L	sEEG	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Left-Cerebral-White-Matter	Depth	Depth	Depth	Depth	Depth	Depth	Depth	-1.0	0.0	27.0	-40.667	21.667	31.0	-46.876714633130064	31.989843033547885	11.305856818341596	169.667	98.0	107.333	-13.662420272827148	61.99382781982422	19.863433837890625	-21.8472900390625	70.90811157226562	-9.436471939086914	-41.37023695737125	30.31974633156693	9.100278973579409	sub-05 LaTh11
LaTh12	-51.32496299988759	36.636435759275656	11.576177064863517	3.5 mm	44	LaTh12	ctx-lh-parstriangularis	1020	GM	L	sEEG	parstriangularis	21	Frontal	G_front_inf-Triangul	14	Triangular part of the inferior frontal gyrus	Default	8	17Networks_17	18	1.0	15.0	0.0	-44.5	25.0	33.0	-51.32496299988759	36.636435759275656	11.576177064863517	173.5	96.0	104.0	-13.35156536102295	64.5998764038086	25.442344665527344	-21.93696022033692	69.97627258300781	-11.30385684967041	-45.20323672890663	33.65274635422975	11.100278854370115	sub-05 LaTh12
LMiC1	-8.862445783226917	6.882149225766924	29.74461482028738	3.5 mm	45	LMiC1	ctx-lh-caudalanteriorcingulate	1002	GM	L	sEEG	caudalanteriorcingulate	3	Frontal	G_and_S_cingul-Mid-Ant	7	Middle-anterior part of the cingulate gyrus and sulcus (aMCC)	Ventral Attention	5	17Networks_8	9	0.3333333	18.0	9.0	-6.0	-2.857	33.2857	-8.862445783226917	6.882149225766924	29.74461482028738	135.0	95.7143	131.857	45.08340835571289	25.8663272857666	30.15509796142578	37.36778259277344	31.48427963256836	16.387439727783203	-6.703239023685455	5.795746430198847	11.38597883734107	sub-05 LMiC1
